timestamp,date,version,fees_usd
1659744000,2022-08-06,Frax Swap,6612.0
1659830400,2022-08-07,Frax Swap,4955.0
1659916800,2022-08-08,Frax Swap,8283.0
1660003200,2022-08-09,Frax Swap,9630.0
1660089600,2022-08-10,Frax Swap,13616.0
1660176000,2022-08-11,Frax Swap,11946.0
1660262400,2022-08-12,Frax Swap,7772.0
1660348800,2022-08-13,Frax Swap,10515.0
1660435200,2022-08-14,Frax Swap,7699.0
1660521600,2022-08-15,Frax Swap,6414.0
1660608000,2022-08-16,Frax Swap,5843.0
1660694400,2022-08-17,Frax Swap,6390.0
1660780800,2022-08-18,Frax Swap,12493.0
1660867200,2022-08-19,Frax Swap,22536.0
1660953600,2022-08-20,Frax Swap,10493.0
1661040000,2022-08-21,Frax Swap,7907.0
1661126400,2022-08-22,Frax Swap,10101.0
1661212800,2022-08-23,Frax Swap,6126.0
1661299200,2022-08-24,Frax Swap,7396.0
1661385600,2022-08-25,Frax Swap,9786.0
1661472000,2022-08-26,Frax Swap,6163.0
1661558400,2022-08-27,Frax Swap,6587.0
1661644800,2022-08-28,Frax Swap,4326.0
1661731200,2022-08-29,Frax Swap,48086.0
1661817600,2022-08-30,Frax Swap,9194.0
1661904000,2022-08-31,Frax Swap,5825.0
1661990400,2022-09-01,Frax Swap,4294.0
1662076800,2022-09-02,Frax Swap,8213.0
1662163200,2022-09-03,Frax Swap,2761.0
1662249600,2022-09-04,Frax Swap,4602.0
1662336000,2022-09-05,Frax Swap,13918.0
1662422400,2022-09-06,Frax Swap,17760.0
1662508800,2022-09-07,Frax Swap,8480.0
1662595200,2022-09-08,Frax Swap,9655.0
1662681600,2022-09-09,Frax Swap,18458.0
1662768000,2022-09-10,Frax Swap,3980.0
1662854400,2022-09-11,Frax Swap,13220.0
1662940800,2022-09-12,Frax Swap,7766.0
1663027200,2022-09-13,Frax Swap,12400.0
1663113600,2022-09-14,Frax Swap,8491.0
1663200000,2022-09-15,Frax Swap,6913.0
1663286400,2022-09-16,Frax Swap,6557.0
1663372800,2022-09-17,Frax Swap,4511.0
1663459200,2022-09-18,Frax Swap,5963.0
1663545600,2022-09-19,Frax Swap,13108.0
1663632000,2022-09-20,Frax Swap,10842.0
1663718400,2022-09-21,Frax Swap,14786.0
1663804800,2022-09-22,Frax Swap,4597.0
1663891200,2022-09-23,Frax Swap,4532.0
1663977600,2022-09-24,Frax Swap,2000.0
1664064000,2022-09-25,Frax Swap,2544.0
1664150400,2022-09-26,Frax Swap,3029.0
1664236800,2022-09-27,Frax Swap,4554.0
1664323200,2022-09-28,Frax Swap,5680.0
1664409600,2022-09-29,Frax Swap,2906.0
1664496000,2022-09-30,Frax Swap,5530.0
1664582400,2022-10-01,Frax Swap,5829.0
1664668800,2022-10-02,Frax Swap,3817.0
1664755200,2022-10-03,Frax Swap,5762.0
1664841600,2022-10-04,Frax Swap,4923.0
1664928000,2022-10-05,Frax Swap,5830.0
1665014400,2022-10-06,Frax Swap,5128.0
1665100800,2022-10-07,Frax Swap,2465.0
1665187200,2022-10-08,Frax Swap,2865.0
1665273600,2022-10-09,Frax Swap,2162.0
1665360000,2022-10-10,Frax Swap,2148.0
1665446400,2022-10-11,Frax Swap,3326.0
1665532800,2022-10-12,Frax Swap,4445.0
1665619200,2022-10-13,Frax Swap,6240.0
1665619200,2022-10-13,Frax Ether,1.0
1665705600,2022-10-14,Frax Swap,5459.0
1665792000,2022-10-15,Frax Swap,10681.0
1665878400,2022-10-16,Frax Swap,8791.0
1665964800,2022-10-17,Frax Swap,5814.0
1666051200,2022-10-18,Frax Swap,19134.0
1666137600,2022-10-19,Frax Swap,9839.0
1666224000,2022-10-20,Frax Swap,6483.0
1666224000,2022-10-20,Frax Ether,1356.0
1666310400,2022-10-21,Frax Swap,5308.0
1666396800,2022-10-22,Frax Swap,2483.0
1666483200,2022-10-23,Frax Swap,11379.0
1666569600,2022-10-24,Frax Swap,4256.0
1666656000,2022-10-25,Frax Swap,8190.0
1666742400,2022-10-26,Frax Swap,5618.0
1666828800,2022-10-27,Frax Swap,3467.0
1666828800,2022-10-27,Frax Ether,3015.0
1666915200,2022-10-28,Frax Swap,4851.0
1667001600,2022-10-29,Frax Swap,8234.0
1667088000,2022-10-30,Frax Swap,4544.0
1667174400,2022-10-31,Frax Swap,4865.0
1667260800,2022-11-01,Frax Swap,2475.0
1667347200,2022-11-02,Frax Swap,3987.0
1667433600,2022-11-03,Frax Swap,3910.0
1667433600,2022-11-03,Frax Ether,2911.0
1667520000,2022-11-04,Frax Swap,8051.0
1667606400,2022-11-05,Frax Swap,9235.0
1667692800,2022-11-06,Frax Swap,10398.0
1667779200,2022-11-07,Frax Swap,4339.0
1667865600,2022-11-08,Frax Swap,25272.0
1667952000,2022-11-09,Frax Swap,16699.0
1668038400,2022-11-10,Frax Swap,13466.0
1668038400,2022-11-10,Frax Ether,4645.0
1668124800,2022-11-11,Frax Swap,11014.0
1668211200,2022-11-12,Frax Swap,12070.0
1668297600,2022-11-13,Frax Swap,5686.0
1668384000,2022-11-14,Frax Swap,4833.0
1668470400,2022-11-15,Frax Swap,3558.0
1668556800,2022-11-16,Frax Swap,5985.0
1668643200,2022-11-17,Frax Swap,4473.0
1668643200,2022-11-17,Frax Ether,7157.0
1668729600,2022-11-18,Frax Swap,1940.0
1668816000,2022-11-19,Frax Swap,5182.0
1668902400,2022-11-20,Frax Swap,13195.0
1668988800,2022-11-21,Frax Swap,7302.0
1669075200,2022-11-22,Frax Swap,4202.0
1669248000,2022-11-24,Frax Swap,2168.0
1669248000,2022-11-24,Frax Ether,16437.0
1669334400,2022-11-25,Frax Swap,2213.0
1669420800,2022-11-26,Frax Swap,7387.0
1669507200,2022-11-27,Frax Swap,4938.0
1669593600,2022-11-28,Frax Swap,4636.0
1669680000,2022-11-29,Frax Swap,3706.0
1669766400,2022-11-30,Frax Swap,4424.0
1669852800,2022-12-01,Frax Swap,2204.0
1669852800,2022-12-01,Frax Ether,20007.0
1669939200,2022-12-02,Frax Swap,12382.0
1670025600,2022-12-03,Frax Swap,3785.0
1670112000,2022-12-04,Frax Swap,1531.0
1670198400,2022-12-05,Frax Swap,6229.0
1670284800,2022-12-06,Frax Swap,3612.0
1670371200,2022-12-07,Frax Swap,11842.0
1670457600,2022-12-08,Frax Swap,13402.0
1670457600,2022-12-08,Frax Ether,27862.0
1670544000,2022-12-09,Frax Swap,3428.0
1670630400,2022-12-10,Frax Swap,3650.0
1670716800,2022-12-11,Frax Swap,5242.0
1670803200,2022-12-12,Frax Swap,5814.0
1670889600,2022-12-13,Frax Swap,8598.0
1670976000,2022-12-14,Frax Swap,3619.0
1671062400,2022-12-15,Frax Swap,5376.0
1671062400,2022-12-15,Frax Ether,49079.0
1671148800,2022-12-16,Frax Swap,4760.0
1671235200,2022-12-17,Frax Swap,2064.0
1671321600,2022-12-18,Frax Swap,3372.0
1671408000,2022-12-19,Frax Swap,4424.0
1671494400,2022-12-20,Frax Swap,4163.0
1671580800,2022-12-21,Frax Swap,3397.0
1671667200,2022-12-22,Frax Swap,5027.0
1671667200,2022-12-22,Frax Ether,47873.0
1671753600,2022-12-23,Frax Swap,2623.0
1671840000,2022-12-24,Frax Swap,718.0
1671926400,2022-12-25,Frax Swap,819.0
1672012800,2022-12-26,Frax Swap,5679.0
