title,votes,quorum,proposal_link
[FIP - 400] Create a new Fraxlend pair (GRT/FRAX) on Ethereum Mainnet,5,399%,https://snapshot.box/#/s:frax.eth/proposal/0xe8634e7624343194160d221c2aeafae517b40644b1a7b09ea61c6a17589903a3
"[FIP - 399] A Frax Shopping Experience, Powered by Moso",10,404%,https://snapshot.box/#/s:frax.eth/proposal/0x34d771686cf04cb0b4c7787aa0d434a0986dca186e3ecbf0c8684b5ba419427e
[FIP-398] Frax AMO Integration on Morpho with USD0++/FRAX and Curve LP USD0/USD0++/FRAX as available markets,13,428%,https://snapshot.box/#/s:frax.eth/proposal/0xcdf89f15b222a0a8cd87d8f9706e2d378d61f0ba15039baaa8de29e97638ee12
[FIP - 397] Frax Finance Annual Budget Request (2024 - 2025),10,405%,https://snapshot.box/#/s:frax.eth/proposal/0x99fa92785d09d732ad89c34875976420d794f581f72ccfcc8ab6d9adf40ee8fd
[FIP - 396] Adding LFXB2027 as an Option for Locked Liquidity Exit,11,405%,https://snapshot.box/#/s:frax.eth/proposal/0xc46f5759b4684eb8cfd024344c3a9b43e5d5a16a203bc523ac3ee1e15b91376d
[FIP - 395] Add new market to Fraxlend (sfrxETH/USDC),9,409%,https://snapshot.box/#/s:frax.eth/proposal/0x0fdabb464587e8a6cab671745c111850a38891682523c7102d8f327d1055a49e
[FIP - 394] Add new market to Fraxlend (sfrxETH/DOLA),7,406%,https://snapshot.box/#/s:frax.eth/proposal/0x0b179d85e85d280a17e2a9ed64047594e05b56428d7ce60b0272a7b48a772f0f
[FIP - 393] Add new market to Fraxlend (sfrxETH/crvUSD),8,406%,https://snapshot.box/#/s:frax.eth/proposal/0xe51edcab97443a7069a1021865d8c07cf960fca43eb26d0f4539636582675d81
[FIP - 392] Add new market to Fraxlend (sfrxETH/GHO),8,406%,https://snapshot.box/#/s:frax.eth/proposal/0xc45b6193270af0ad370b19954031566baa287ed2abe9971a9a2f966963130e29
[FIP - 391] Add new market to Fraxlend (sfrxETH/DAI),8,406%,https://snapshot.box/#/s:frax.eth/proposal/0xfa33317d0c7aab0967fe01efa5b9f91b088465d69795e855c2e62309fd9c4d6c
[FIP - 390] Add new market to Fraxlend (sfrxETH/USDT),7,406%,https://snapshot.box/#/s:frax.eth/proposal/0x6ad0962dfa350b84d1740f9e562cf57a721cf84f4cbbd311005f43c1f2064160
[FIP - 389] Authorize Fraxlend AMO for new pair on Fraxtal (ezETH/FRAX),7,406%,https://snapshot.box/#/s:frax.eth/proposal/0x99c773823de0c9b29232a2c3f96c65b5453f3d370c92dd44ea4fbe00f1ee41eb
[FIP - 388] Authorize Fraxlend AMO for new pair on Fraxtal (FPI/FRAX),6,406%,https://snapshot.box/#/s:frax.eth/proposal/0x3cffd59b6a38ae96e0e9ea5dfa875251a7e3b3cb90707335526aa141700cf141
[FIP - 387] Create ezETH/FRAX Fraxlend Pair on Ethereum Mainnet and Authorize AMO Allocation,10,411%,https://snapshot.box/#/s:frax.eth/proposal/0x00a4bd53a5af6fa87b6b185a492b07fd35dc10ae15b802bf7547bd8937cf9aa0
[FIP - 386] Add FXS/frxETH LP Pool on Ra to FXS Gauge Controller on Fraxtal,9,408%,https://snapshot.box/#/s:frax.eth/proposal/0x7f1a4ef4384493703836a3c94fb3a921f4a533fbdd266cc03c8a321e4ce001ad
[FIP - 385] Deploy Fraxferry for a new chain ( TRON ),9,410%,https://snapshot.box/#/s:frax.eth/proposal/0xccdbe736cd70ba9e736eabec93505d61c1750765c8d2b0e8a0a562865bab964f
[FIP - 384] Launching new FXB and Authorizing Fraxlend AMO for a new pair ( FXB20271231),8,410%,https://snapshot.box/#/s:frax.eth/proposal/0xa258da9b3a5e6b0c2294bdcf89e48ba1f2111f536307a9a42dcc44e0fcdbeb2f
[FIP - 383] Update frxETH Curve AMO,14,434%,https://snapshot.box/#/s:frax.eth/proposal/0x449be4f7af6ebc021de7cb7ea1b025e94aa64859f5082a99f6c642c693cce6fa
[FIP - 382] Head of Community Development,32,450%,https://snapshot.box/#/s:frax.eth/proposal/0xd65c3074f7b68e84e41b30d4c7cb3a289c0a15d30798e7db8c82e2fe2ef51621
[FIP - 381] Create PEPE/FRAX Fraxlend Pair on Ethereum Mainnet and Authorize AMO Allocation,17,411%,https://snapshot.box/#/s:frax.eth/proposal/0xf48c1b172991cf82cc1e0cb18b8f15bc6dd9627d55599273571475ddc4843711
[FIP - 380] Create weETH/FRAX Fraxlend Pair on Ethereum Mainnet and Authorize AMO Allocation,17,437%,https://snapshot.box/#/s:frax.eth/proposal/0x102a7456e222c33447b36914f9e5f11ba62f0d5e25fe7fa9ac51d94ede032ca6
[FIP - 379] Locked Liquidity Standard Exit,23,417%,https://snapshot.box/#/s:frax.eth/proposal/0xa709628a6d667596a7a8d4fd677369ba6bafdaea4a8d034317e1d8c22119fa79
[FIP - 378] Aave AMO,16,412%,https://snapshot.box/#/s:frax.eth/proposal/0xe958855a6de8aa1cb66945802ee1a0f6450e2cb697d431f35baeed6efdfadae5
[FIP - 377] Change veFXS Reward Distribution Token,17,417%,https://snapshot.box/#/s:frax.eth/proposal/0x3eaa035f8addff3bc3afb915ba4de3b096743abc4ff9963ffed58f3d1db95f39
[FIP - 376] Enhancing Security and Trust with ChainPatrol,13,413%,https://snapshot.box/#/s:frax.eth/proposal/0x6fd4ce059c7c93e9e3fcdc583f6d16a953d2bc5da221471c2c7ddec7dcf15e45
[FIP - 375] Create a new Fraxlend pair (WETH/FRAX) on Ethereum Mainnet,13,413%,https://snapshot.box/#/s:frax.eth/proposal/0x8586cd7b0a6f8f89d03ca079a4433c92987a5e99709573fb4af22ec918995a40
[FIP - 374] Authorize Fraxlend AMO for a new pair (wBTC/FRAX),12,413%,https://snapshot.box/#/s:frax.eth/proposal/0xe8b9431bf92912d9254ec6a691ebd7c92592c3d1587aa309e27b3f810d6775a6
[FIP - 373]  Allocate 260k FRAX as initial liquidity for Octopool (Symbiosis cross-chain pool) #2,13,413%,https://snapshot.box/#/s:frax.eth/proposal/0xda5962e2850b11e1f383ec9330e7e07296d7a8185c95aa4143223fb645621543
[FIP - 372] Authorize Fraxlend AMO for new pair on Fraxtal ( FXB20261231/FRAX ),12,414%,https://snapshot.box/#/s:frax.eth/proposal/0x5e7aba10b92217bb7b490e6f6c9f462e92e800968b3515d12ede52ce1876e412
[FIP - 371] Authorize Fraxlend AMO for new pair on Fraxtal ( FXB20241231/FRAX ),12,414%,https://snapshot.box/#/s:frax.eth/proposal/0x87742932bcdae4e40b70b3ab2adf610de636dd10adcdd25e58ee178a5f01ab1e
